R(x),Decomposable,P(x),Q(x)
-9642465504*x**15 + 54462073680*x**14 - 60546482640*x**13 - 70836772536*x**12 - 89918804214*x**11 + 385807046385*x**10 + 329802798462*x**9 - 91355362678*x**8 - 965405319682*x**7 - 820414611799*x**6 - 10383679150*x**5 + 1015984900020*x**4 + 1191209594728*x**3 + 831861214248*x**2 + 320673931760*x + 74457357600,1,-21*x**5 + 29*x**4 + 25*x**3 - 29*x**2 - 80*x + 84,54*x**3 - 61*x**2 - 70*x - 81
-584585100000*x**15 - 1656324450000*x**14 - 4442846760000*x**13 - 8273086389000*x**12 - 12908112821550*x**11 - 17137995449049*x**10 - 19220574794445*x**9 - 18861879631014*x**8 - 15978917828124*x**7 - 11665883688651*x**6 - 7356255240219*x**5 - 3884813551918*x**4 - 1680651641942*x**3 - 573984073280*x**2 - 132637548648*x - 14409202681,1,99*x**5 + 41*x**4 - 56*x**3 + 4*x**2 - 59*x + 10,-90*x**3 - 51*x**2 - 79*x - 43
-8211456*x**15 - 75271680*x**14 - 190460160*x**13 + 401953536*x**12 + 2963087424*x**11 + 3299443680*x**10 - 11669032176*x**9 - 33686498544*x**8 - 601337460*x**7 + 103537841578*x**6 + 108567752001*x**5 - 107463949522*x**4 - 255428642495*x**3 - 50562703520*x**2 + 186869863375*x + 122657855805,1,-33*x**5 + 6*x**4 - 77*x**3 - 4*x**2 - 75*x - 97,12*x**3 + 22*x**2 - 25*x - 82
817887699*x**15 + 7875955620*x**14 + 33063306570*x**13 + 85917753729*x**12 + 170556397416*x**11 + 282278393112*x**10 + 386342326188*x**9 + 453371058440*x**8 + 470345398632*x**7 + 411808711728*x**6 + 320971630320*x**5 + 218911403664*x**4 + 115927594767*x**3 + 64451167652*x**2 + 17283364938*x + 8228802224,1,-57*x**5 - 46*x**4 - 82*x**3 + 36*x**2 + 6*x - 61,-27*x**3 - 52*x**2 - 18*x - 43
-17667072*x**15 - 655153920*x**14 - 9320607360*x**13 - 61012648800*x**12 - 161303490660*x**11 - 54984843919*x**10 - 281702477070*x**9 - 1617765529215*x**8 + 3065893646040*x**7 - 7479044129088*x**6 + 8742106741032*x**5 - 10302179347635*x**4 + 7326026755680*x**3 - 5059690020415*x**2 + 1847891989458*x - 678171132608,1,71*x**5 - 30*x**4 + 90*x**3 + 93*x**2 - 64*x - 68,-12*x**3 - 89*x**2 + 54*x - 99
4485328263*x**15 - 10113975495*x**14 + 39024597690*x**13 - 88437748041*x**12 + 171964158087*x**11 - 318052695485*x**10 + 468918287662*x**9 - 638805313613*x**8 + 779235700754*x**7 - 802108830803*x**6 + 755528691434*x**5 - 614255076557*x**4 + 404931207005*x**3 - 232436830929*x**2 + 100801810012*x - 20494337406,1,13*x**5 - 6*x**4 + 80*x**3 + 73*x**2 - 88*x - 48,51*x**3 - 23*x**2 + 68*x - 69
106472257*x**15 - 224152120*x**14 + 2262166790*x**13 - 1689305637*x**12 + 15202924936*x**11 + 10303802920*x**10 + 47266328064*x**9 + 115974267528*x**8 + 149794983792*x**7 + 338701382985*x**6 + 501772999024*x**5 + 552997934572*x**4 + 715199427763*x**3 + 678852842076*x**2 + 324060520650*x + 58843134785,1,43*x**5 + 38*x**4 + 74*x**3 - 55*x**2 + 46*x - 63,19*x**3 - 8*x**2 + 74*x + 67
-505055936*x**15 - 6083628320*x**14 - 24605824320*x**13 - 22508632960*x**12 + 87838221460*x**11 + 170869860206*x**10 - 114568452902*x**9 - 338675404999*x**8 + 77618689432*x**7 + 273096676638*x**6 + 3624957188*x**5 - 104134767301*x**4 - 23612868066*x**3 + 14173144740*x**2 + 6680539836*x + 782741569,1,-98*x**5 + 5*x**4 - 54*x**3 + 36*x - 95,22*x**3 + 53*x**2 - 41*x - 24
36453377889*x**15 - 2720401335*x**14 + 141542075430*x**13 - 254995602505*x**12 + 234489477985*x**11 - 775569149677*x**10 + 871834322912*x**9 - 926534114683*x**8 + 1646213528560*x**7 - 1410788166947*x**6 + 1249733164546*x**5 - 1508064966355*x**4 + 942876340096*x**3 - 552552042888*x**2 + 473551814112*x - 165055822697,1,27*x**5 - 85*x**4 + 64*x**3 - 3*x**2 - 84*x + 43,67*x**3 - x**2 + 52*x - 90
-226151304352*x**15 - 41369141040*x**14 - 16816724000*x**13 - 11985005528*x**12 - 1891483258*x**11 - 599578487*x**10 - 179272933*x**9 - 24131304*x**8 - 5532956*x**7 + 55117*x**6 - 27697*x**5 + 9775*x**4 + 15860*x**3 + 642*x**2 + 191*x + 99,1,-61*x**5 + 87*x**4 + 46*x**3 + 19*x**2 - 28*x + 36,82*x**3 + 3*x**2 + x + 1
103265865625*x**15 - 246249371875*x**14 + 163392263125*x**13 + 723714446000*x**12 - 1385204668575*x**11 + 567243083911*x**10 + 2152308771365*x**9 - 2857821242762*x**8 + 470652174003*x**7 + 3121996948923*x**6 - 2514161276393*x**5 - 178648109068*x**4 + 2071767589492*x**3 - 779643337598*x**2 - 240630837498*x + 470797463632,1,89*x**5 + 18*x**4 + 54*x**3 - 24*x**2 - 86*x - 32,65*x**3 - 31*x**2 - 9*x + 88
268697600000*x**15 + 1293107200000*x**14 + 2673960960000*x**13 + 1762172544000*x**12 - 2947319839200*x**11 - 7187857961526*x**10 - 3933378671490*x**9 + 4471284464625*x**8 + 7648024804200*x**7 + 1688759153662*x**6 - 4020636499000*x**5 - 3091917161487*x**4 + 642707013278*x**3 + 1247625298238*x**2 + 185512543436*x - 270117724523,1,82*x**5 - 35*x**4 - 26*x**3 + 26*x**2 + 36*x - 43,80*x**3 + 77*x**2 + 11*x - 80
-523044527445*x**15 - 2615222637225*x**14 - 5547441957750*x**13 - 6474897405405*x**12 - 4499912008845*x**11 - 1868955973335*x**10 - 428823643050*x**9 - 36654808905*x**8 + 4538353050*x**7 + 1092737547*x**6 + 18580914*x**5 - 7976691*x**4 - 231075*x**3 + 23301*x**2 + 84*x - 95,1,55*x**5 - 30*x**4 - 80*x**3 + 27*x**2 + 24*x - 91,-99*x**3 - 99*x**2 - 12*x + 1
202233495258*x**15 + 1210904261730*x**14 + 2450782686780*x**13 + 1733726554983*x**12 + 592235810334*x**11 + 1668046969276*x**10 + 1154295116658*x**9 - 346646058579*x**8 + 699555113442*x**7 + 243970412619*x**6 - 292434682158*x**5 + 331276138037*x**4 - 148487189778*x**3 + 61093356742*x**2 - 12546659736*x + 2307392121,1,-58*x**5 + 33*x**4 + 42*x**3 - 79*x**2 + 20*x - 21,-81*x**3 - 97*x**2 + 36*x - 33
20662426080*x**15 - 130096756800*x**14 + 274081838400*x**13 - 120013182144*x**12 - 308956094208*x**11 + 321882610176*x**10 + 107320042224*x**9 - 206783157984*x**8 - 4371773664*x**7 + 57536577544*x**6 - 6946876320*x**5 - 7315141376*x**4 + 1715576274*x**3 + 287571124*x**2 - 124894644*x + 10539123,1,45*x**5 - 24*x**4 - 86*x**3 - 86*x**2 + 27*x + 15,54*x**3 - 68*x**2 - 28*x + 12
-94699974933*x**15 - 157833291555*x**14 - 306595704285*x**13 + 104961207681*x**12 + 233333148183*x**11 + 765825648217*x**10 - 81799592516*x**9 - 79731797222*x**8 - 836559547579*x**7 + 152153314203*x**6 - 36472241665*x**5 + 470589646489*x**4 - 144029097690*x**3 + 22572031054*x**2 - 111508343703*x + 45221157636,1,-19*x**5 - 89*x**4 - 35*x**3 + 9*x**2 + 93*x + 80,87*x**3 + 29*x**2 + 37*x - 76
15891428734*x**15 - 85453909230*x**14 + 251270134290*x**13 - 399368339040*x**12 + 308195018550*x**11 + 186898006854*x**10 - 628283383162*x**9 + 556452323064*x**8 + 143154806274*x**7 - 491195653956*x**6 + 308994669162*x**5 + 214618062186*x**4 - 158217082386*x**3 + 26770918104*x**2 + 103956659010*x + 27281204265,1,38*x**5 + 10*x**4 - 36*x**3 + 86*x**2 + 28*x - 81,53*x**3 - 57*x**2 + 45*x + 59
-538145980416*x**15 - 2214246481920*x**14 - 1037636075520*x**13 + 7423413571584*x**12 + 10370614584384*x**11 - 6514149371358*x**10 - 20211021729438*x**9 - 4273449770131*x**8 + 16243601146392*x**7 + 10760988649545*x**6 - 4348977896259*x**5 - 6397660757754*x**4 - 1051051526799*x**3 + 1134140066636*x**2 + 572583667962*x + 80922784490,1,66*x**5 - 91*x**4 - 15*x**3 - 36*x**2 + 70*x + 86,-96*x**3 - 79*x**2 + 93*x + 66
130380192*x**15 - 1484885520*x**14 + 10023983280*x**13 - 47748564936*x**12 + 175689735858*x**11 - 519935953053*x**10 + 1265604546258*x**9 - 2564366297412*x**8 + 4338603020682*x**7 - 6110749955075*x**6 + 7088086091898*x**5 - 6632197479098*x**4 + 4833713886444*x**3 - 2573151030198*x**2 + 880591615020*x - 142809628968,1,69*x**5 + 9*x**4 + 61*x**3 + 85*x**2 - 52*x + 56,18*x**3 - 41*x**2 + 90*x - 73
-8120177910*x**15 - 13533629850*x**14 + 65933068500*x**13 - 4920689007*x**12 - 363094802226*x**11 + 418561428636*x**10 + 645641649003*x**9 - 2014078063244*x**8 + 884392682589*x**7 + 2760864825264*x**6 - 4736755123254*x**5 + 1666172937387*x**4 + 3185333384610*x**3 - 4905429547706*x**2 + 2968683519888*x - 806794741633,1,-90*x**5 + 73*x**4 + x**3 - 27*x**2 + 62*x - 41,39*x**3 + 13*x**2 - 72*x + 98
1376829440*x**15 - 11801395200*x**14 + 36036403200*x**13 - 33369398272*x**12 - 51614932992*x**11 + 124592080896*x**10 - 21568723712*x**9 - 129030723072*x**8 + 79395451776*x**7 + 55324389696*x**6 - 56951051328*x**5 - 6163599744*x**4 + 17409369416*x**3 - 2203325520*x**2 - 2004216300*x + 511493454,1,-80*x**5 - 12*x**4 + 4*x**3 - 16*x**2 - 50*x + 88,-28*x**3 + 48*x**2 + 18*x - 23
-4286679437*x**15 + 1568297355*x**14 + 35841332235*x**13 + 29992190194*x**12 - 132114284133*x**11 - 244958039067*x**10 + 108912150706*x**9 + 688205882097*x**8 + 499952155869*x**7 - 579867156220*x**6 - 1226347552743*x**5 - 553614614931*x**4 + 528031996937*x**3 + 840988275324*x**2 + 461152352118*x + 103611868925,1,-37*x**5 - 86*x**4 + 65*x**3 + 92*x**2 + 22*x - 7,41*x**3 - 3*x**2 - 69*x - 78
-55*x**15 - 23925*x**14 - 4184950*x**13 - 369852176*x**12 - 16764107323*x**11 - 333891492469*x**10 - 1393650284628*x**9 - 3628922933682*x**8 - 6451324136372*x**7 - 8637064656094*x**6 - 8783732488364*x**5 - 6953095943834*x**4 - 4167134805544*x**3 - 1868036460888*x**2 - 559124897920*x - 99244138255,1,55*x**5 - x**4 - 38*x**3 + 56*x**2 - 69*x - 82,-x**3 - 87*x**2 - 80*x - 71
4912580416*x**15 - 52357764960*x**14 + 223209419040*x**13 - 539589489808*x**12 + 1051077773124*x**11 - 1955508766254*x**10 + 2803118022728*x**9 - 3436622831970*x**8 + 4517837375994*x**7 - 4070950809769*x**6 + 3670188713532*x**5 - 3911648497317*x**4 + 1118095664446*x**3 - 2383309179477*x**2 - 580848041483,1,-62*x**5 + 92*x**4 - 73*x**3 - 88*x**2 + 4*x + 82,-38*x**3 + 81*x**2 + 99
-954143904*x**15 - 140315280*x**14 - 4778973360*x**13 - 12366696104*x**12 - 10955050274*x**11 - 48124418741*x**10 - 72158514602*x**9 - 76670320478*x**8 - 184372045922*x**7 - 202308476811*x**6 - 186272700118*x**5 - 306234196145*x**4 - 245808609966*x**3 - 149835581717*x**2 - 178879661986*x - 88530770260,1,-21*x**5 - 14*x**4 - 15*x**3 - 49*x**2 - 73*x - 16,34*x**3 + x**2 + 34*x + 84
-13101496875*x**15 + 59684596875*x**14 - 120404373750*x**13 + 217481223375*x**12 - 384073922475*x**11 + 487059091621*x**10 - 572566068920*x**9 + 687064399341*x**8 - 600258799812*x**7 + 522242228631*x**6 - 468278408094*x**5 + 257377411331*x**4 - 185495372650*x**3 + 114294518514*x**2 - 21042247440*x + 27446472153,1,71*x**5 + 61*x**4 + 44*x**3 - 77*x**2 - 22*x - 95,-45*x**3 + 41*x**2 - 8*x + 52
878906250*x**15 - 7910156250*x**14 + 22500000000*x**13 - 24045312500*x**12 + 60098906250*x**11 - 186432531250*x**10 + 91374746875*x**9 - 135352880625*x**8 + 715820854875*x**7 + 161935438375*x**6 + 311670030270*x**5 - 1404739960326*x**4 - 1555721616338*x**3 - 2086314257902*x**2 - 1003442157692*x - 531183596190,1,90*x**5 + 4*x**4 + 7*x**3 + 8*x**2 - 22*x + 30,25*x**3 - 45*x**2 - 34*x - 90
425579515625*x**15 + 851159031250*x**14 + 2472840975000*x**13 + 3767498659375*x**12 + 5797576609000*x**11 + 6803172952840*x**10 + 7106119521210*x**9 + 6375018792796*x**8 + 4864387524760*x**7 + 3238145762251*x**6 + 1806284201340*x**5 + 833002305772*x**4 + 311185100720*x**3 + 84015960672*x**2 + 13585931520*x + 951732908,1,-55*x**5 + 11*x**4 + 74*x**3 + 35*x**2 + 56*x + 28,-95*x**3 - 38*x**2 - 80*x - 28
243087455521*x**15 + 1030813893665*x**14 + 1194598984270*x**13 + 806822331653*x**12 + 2824004825001*x**11 + 3038183614207*x**10 + 310102467115*x**9 + 3365430068752*x**8 + 2974324052637*x**7 - 1045147020334*x**6 + 2748031881634*x**5 + 857146236227*x**4 - 880654130839*x**3 + 1478239008365*x**2 - 531356613084*x + 230799083443,1,-79*x**5 + 73*x**4 - 21*x**3 + 41*x**2 + 73*x - 59,-79*x**3 - 67*x**2 + 36*x - 78
-7372800000*x**15 + 23040000000*x**14 - 40780800000*x**13 + 80960640000*x**12 - 124014120000*x**11 + 147279957000*x**10 - 185284293000*x**9 + 192130594350*x**8 - 164917807800*x**7 + 152337318930*x**6 - 110238444426*x**5 + 67134546879*x**4 - 47204013572*x**3 + 20388671237*x**2 - 7695968150*x + 4238564674,1,-72*x**5 - 66*x**4 + 90*x**3 + 39*x**2 - 86*x + 58,40*x**3 - 25*x**2 + 13*x - 36
-552821885451*x**15 + 2422477925010*x**14 - 5395265225955*x**13 + 7816422387583*x**12 - 8115706016094*x**11 + 6310334861600*x**10 - 3751172605413*x**9 + 1711993555608*x**8 - 595057929012*x**7 + 154001518027*x**6 - 28590132348*x**5 + 3592217067*x**4 - 291658542*x**3 + 14549915*x**2 - 407259*x + 4900,1,99*x**5 + 73*x**4 + 55*x**3 - x**2 + 95*x - 62,-89*x**3 + 78*x**2 - 37*x + 2
-45652080978*x**15 - 231883585920*x**14 - 268230417840*x**13 + 294970368609*x**12 + 445710279168*x**11 - 432024228640*x**10 - 264647861324*x**9 + 468863095424*x**8 - 121882864096*x**7 - 156642431393*x**6 + 168963573632*x**5 - 82671145584*x**4 + 24530753226*x**3 - 4577388224*x**2 + 502638640*x - 25259700,1,-46*x**5 - 11*x**4 - 28*x**3 - 97*x**2 - 94*x - 60,63*x**3 + 64*x**2 - 56*x + 14
343411722848*x**15 - 1417571646640*x**14 + 1342351664080*x**13 + 2127145706056*x**12 - 4643243576594*x**11 + 585871075713*x**10 + 4589634656934*x**9 - 2943636388358*x**8 - 1616416303676*x**7 + 2164658534646*x**6 - 143370392248*x**5 - 625199656761*x**4 + 222740552860*x**3 + 46567078440*x**2 - 38884943000*x + 5941939427,1,-73*x**5 + 76*x**4 + 14*x**3 + 51*x**2 + 96*x + 39,-86*x**3 + 71*x**2 + 50*x - 38
-329832448*x**15 + 3448248320*x**14 - 17643310080*x**13 + 55947921920*x**12 - 118957245440*x**11 + 170520280064*x**10 - 153537044480*x**9 + 59615194880*x**8 + 34153256320*x**7 - 51155612144*x**6 + 11272718112*x**5 + 11403319232*x**4 - 3945806500*x**3 - 2954343416*x**2 - 536412874*x - 31853633,1,2*x**5 - 90*x**4 + 40*x**3 - 79*x**2 - 37*x + 13,-44*x**3 + 92*x**2 - 86*x - 22
-50256535041*x**15 + 149640244785*x**14 - 361744267815*x**13 + 547487931577*x**12 - 700168280281*x**11 + 658916155045*x**10 - 529719447449*x**9 + 317158172827*x**8 - 160132909495*x**7 + 54415159027*x**6 - 14782803053*x**5 + 1376289943*x**4 - 74122248*x**3 + 1667436*x**2 - 13780*x + 49,1,-9*x**5 + 22*x**4 - 82*x**3 - 76*x**2 + 15*x + 27,89*x**3 - 53*x**2 + 65*x - 1
732262338423*x**15 + 36982946385*x**14 - 2514093223950*x**13 - 990441652563*x**12 + 3417277973967*x**11 + 2546198342303*x**10 - 1866378900320*x**9 - 2550177143813*x**8 - 125160930560*x**7 + 1037417551090*x**6 + 508224762796*x**5 - 47807986846*x**4 - 125672394183*x**3 - 49283389949*x**2 - 8729082956*x - 616762918,1,-77*x**5 - 13*x**4 + 48*x**3 + 18*x**2 - 67*x - 94,-99*x**3 - x**2 + 68*x + 24
71008211968*x**15 - 100754895360*x**14 + 402630566400*x**13 - 496935741344*x**12 + 941990300544*x**11 - 991550753424*x**10 + 1164465964336*x**9 - 1011191848506*x**8 + 803908231272*x**7 - 542371348820*x**6 + 296610924696*x**5 - 137289797694*x**4 + 48134257764*x**3 - 10808616546*x**2 + 1333552464*x - 68237557,1,32*x**5 - 74*x**4 - 4*x**3 - 86*x**2 - 78*x - 25,74*x**3 - 21*x**2 + 72*x - 18
541345194*x**15 + 3678371190*x**14 + 15966302040*x**13 + 42774310332*x**12 + 83986907706*x**11 + 104922399198*x**10 + 82252784763*x**9 - 9525345985*x**8 - 63885641713*x**7 - 77011118836*x**6 + 22900492760*x**5 + 19365220803*x**4 + 33184637356*x**3 - 38181458836*x**2 + 12533494144*x - 1369003344,1,-6*x**5 - 28*x**4 - 81*x**3 + 13*x**2 - 12,-39*x**3 - 53*x**2 - 86*x + 46
173232421875*x**15 + 704478515625*x**14 + 1965918515625*x**13 + 3587452762500*x**12 + 5146269372375*x**11 + 5519624305723*x**10 + 4770593240215*x**9 + 3063889907804*x**8 + 1537614334861*x**7 + 482474375808*x**6 + 99388609201*x**5 - 9149883601*x**4 + 253801260*x**3 - 3095535*x**2 + 17182*x - 108,1,73*x**5 - 21*x**4 - 90*x**3 - 31*x**2 + x - 72,75*x**3 + 61*x**2 + 71*x - 1
2090029504*x**15 + 1844143680*x**14 - 28240710080*x**13 - 32835412416*x**12 + 145501964224*x**11 + 220451413824*x**10 - 323362488400*x**9 - 701918184144*x**8 + 146855278688*x**7 + 1026748351012*x**6 + 521056315544*x**5 - 412109578004*x**4 - 580502474240*x**3 - 273321608516*x**2 - 60239529640*x - 5237345029,1,46*x**5 + 34*x**4 + 58*x**3 - 21*x**2 + 70*x - 68,34*x**3 + 6*x**2 - 94*x - 41
285081600000*x**15 - 1158144000000*x**14 + 599116800000*x**13 + 1711684160000*x**12 + 866703190000*x**11 - 3312262020375*x**10 - 3010042559000*x**9 + 892738303475*x**8 + 4232899278000*x**7 + 2839354991365*x**6 - 304361766824*x**5 - 2099391202589*x**4 - 1777666635904*x**3 - 846815815673*x**2 - 230990090760*x - 33437421294,1,-87*x**5 - 49*x**4 - 11*x**3 + 55*x**2 - 65*x + 22,-80*x**3 + 65*x**2 + 72*x + 52
-72900000*x**15 - 291600000*x**14 + 1161540000*x**13 + 7167396375*x**12 - 983437200*x**11 - 64288296972*x**10 - 87268324995*x**9 + 224965656774*x**8 + 663754599909*x**7 + 46069130730*x**6 - 1758495201297*x**5 - 2080135206329*x**4 + 684768060771*x**3 + 3315054293134*x**2 + 2721772094700*x + 779273241951,1,96*x**5 - 41*x**4 - 3*x**3 + 46*x**2 + 36*x - 33,-15*x**3 - 12*x**2 + 67*x + 96
-18901136384*x**15 - 13897894400*x**14 - 20765089280*x**13 + 56384020224*x**12 + 31197023680*x**11 + 53006634464*x**10 - 74175814528*x**9 - 26399544416*x**8 - 52393463376*x**7 + 53414774968*x**6 + 9927071680*x**5 + 23747345116*x**4 - 20608717248*x**3 - 1386608376*x**2 - 4156112304*x + 3326132037,1,13*x**5 + 69*x**4 + 77*x**3 - 22*x**2 + 68*x - 12,-68*x**3 - 10*x**2 - 12*x + 47
-351795745287*x**15 + 256929476895*x**14 + 1328172170535*x**13 - 231045272700*x**12 - 2397652851075*x**11 - 806366134371*x**10 + 2064627243316*x**9 + 1740298255719*x**8 - 429017024775*x**7 - 1161927831013*x**6 - 456666144415*x**5 + 143689390136*x**4 + 201302448746*x**3 + 82312448796*x**2 + 16321795453*x + 1343059189,1,63*x**5 + 75*x**4 - 89*x**3 - 20*x**2 - 65*x + 53,-89*x**3 + 13*x**2 + 71*x + 29
24876859116*x**15 + 100529773140*x**14 + 302219526960*x**13 + 452370875119*x**12 + 492158765408*x**11 - 34463999882*x**10 - 397567771842*x**9 - 794193792239*x**8 - 17628582958*x**7 + 124955619241*x**6 + 623023948662*x**5 - 204310328009*x**4 + 16955762575*x**3 - 241418530051*x**2 + 170083159094*x - 31806012614,1,-12*x**5 - 41*x**4 - 26*x**3 - 77*x**2 - 11*x + 78,-73*x**3 - 59*x**2 - 82*x + 76
35504105984*x**15 - 40781743360*x**14 + 83508561920*x**13 - 84184760304*x**12 + 86979803648*x**11 - 71901898136*x**10 + 51000564848*x**9 - 32708428747*x**8 + 17682461346*x**7 - 8437728997*x**6 + 3490748757*x**5 - 1191303153*x**4 + 340382537*x**3 - 75713162*x**2 + 10492119*x - 627333,1,16*x**5 + 41*x**4 - 73*x**3 - 54*x**2 + 40*x - 33,74*x**3 - 17*x**2 + 27*x - 9
-4300000*x**15 - 148350000*x**14 - 1997780000*x**13 - 12598897000*x**12 - 30360001150*x**11 + 37850621393*x**10 + 259889740565*x**9 + 41496710607*x**8 - 727320231986*x**7 - 319243247210*x**6 + 965285272148*x**5 + 530261326233*x**4 - 625477049039*x**3 - 382522122283*x**2 + 160043918842*x + 104963014148,1,-43*x**5 + 92*x**4 - 27*x**3 - 58*x**2 + 46*x + 98,10*x**3 + 69*x**2 - 23*x - 75
22677553152*x**15 - 85040824320*x**14 + 278744924160*x**13 - 350687232000*x**12 + 353673768960*x**11 + 561300765696*x**10 - 756503064576*x**9 + 1426655794176*x**8 + 991631979264*x**7 - 442591184064*x**6 + 2130034319360*x**5 + 1777367414144*x**4 + 279055092592*x**3 + 1364823802732*x**2 + 1420900519744*x + 373172987548,1,-89*x**5 + 20*x**4 + 53*x**3 + 4*x**2 - 13*x + 88,-48*x**3 + 36*x**2 - 64*x - 84
-8364238848*x**15 + 20910597120*x**14 - 37838223360*x**13 + 23250592512*x**12 + 411336576*x**11 - 36406843200*x**10 + 24658208064*x**9 - 10128344688*x**8 - 17096798208*x**7 + 7465946208*x**6 - 4006096064*x**5 - 5471294664*x**4 + 333047436*x**3 - 475613366*x**2 - 848487034*x - 185579081,1,-2*x**5 - 93*x**4 + 84*x**3 - 32*x**2 - 43*x - 83,84*x**3 - 42*x**2 + 34*x + 33
