P(x),Q(x)
-85*x**5 + 27*x**4 - 26*x**3 + 73*x**2 - 15*x + 58,-66*x**3 - 12*x**2 - 35*x + 70
-83*x**5 + 20*x**4 - 17*x**3 + 32*x**2 - 44*x + 86,50*x**3 + 107*x**2 - 107*x + 6
11*x**5 + 107*x**4 - 12*x**3 - 82*x**2 - 8*x + 48,-53*x**3 + 26*x**2 + 68*x - 92
-45*x**5 - 71*x**4 + 63*x**3 + 72*x**2 + 62*x + 13,13*x**3 + 67*x**2 + 20*x - 86
83*x**5 + 7*x**4 + 14*x**3 - 59*x**2 - 77,x**3 - 111*x**2 - 103*x - 50
75*x**5 + 43*x**4 - 37*x**3 + 102*x**2 + 25*x + 46,115*x**3 + 109*x**2 - 50*x + 76
85*x**5 - 59*x**4 + 36*x**3 - 4*x**2 + 77*x + 37,-75*x**3 + 97*x**2 + 78*x - 80
113*x**5 + 128*x**4 - 60*x**3 + 67*x**2 + 106*x - 12,-122*x**3 - 66*x**2 - 57*x + 92
-66*x**5 + 115*x**4 + 96*x**3 + 90*x**2 + 125*x + 2,116*x**3 + 128*x**2 + 125*x + 126
-90*x**5 - 105*x**4 - 15*x**3 + 129*x**2 - 115*x + 36,41*x**3 + 46*x**2 + 9*x
31*x**5 + 3*x**4 + 124*x**3 - 74*x**2 - 112*x - 46,-91*x**3 - 98*x**2 - 78*x + 69
-96*x**5 + 5*x**4 - 4*x**3 - 88*x**2 - 49*x - 123,9*x**3 - 60*x**2 - 134*x - 122
-69*x**5 + 64*x**4 + 108*x**3 - 50*x**2 - 61*x - 86,4*x**3 + 128*x**2 + 11*x - 58
2*x**5 + 37*x**4 - 26*x**3 - 134*x**2 - 76*x + 57,120*x**3 - 14*x**2 - 6*x - 35
2*x**5 + 106*x**4 - 79*x**3 - 11*x**2 - 130*x - 109,81*x**3 - 103*x**2 + 20*x + 18
126*x**5 + 115*x**4 - 6*x**3 - 20*x**2 - 3*x - 53,-2*x**3 + 65*x**2 + 20*x + 96
131*x**5 - 124*x**4 + 14*x**3 + 4*x**2 - 157*x + 80,-83*x**3 - 20*x**2 - 41*x + 41
57*x**5 - 153*x**4 - 89*x**3 + 63*x**2 - 148*x + 51,-51*x**3 - 137*x**2 + 138*x - 10
80*x**5 + 60*x**4 + 157*x**3 + 118*x**2 - 89*x - 60,100*x**3 + 149*x**2 + x - 137
-87*x**5 + 27*x**4 - 65*x**3 - 138*x**2 + 81*x + 20,-106*x**3 + 41*x**2 + 56*x - 160
146*x**5 - 107*x**4 - 87*x**3 - 42*x**2 + 21*x + 88,155*x**3 + 100*x**2 + 155*x + 65
61*x**5 - 85*x**4 + 92*x**3 + 157*x**2 + 121*x + 21,-133*x**3 + 126*x**2 - 7*x - 98
128*x**5 - 64*x**4 + 30*x**3 + 37*x**2 + 67*x - 111,131*x**3 - 51*x**2 + 164*x - 48
-90*x**5 + 138*x**4 + 166*x**3 + 87*x**2 + 36*x - 7,-74*x**3 + 101*x**2 + 73*x - 53
43*x**5 + 87*x**4 + 121*x**3 - 96*x**2 - 134*x - 38,-69*x**3 - 113*x**2 - 146*x + 106
81*x**5 - 91*x**4 - 91*x**3 + 106*x**2 - 125*x - 4,102*x**3 - 25*x**2 + 107*x + 34
-185*x**5 + 156*x**4 - 21*x**3 + 41*x**2 - 141*x - 50,-97*x**3 - 76*x**2 + 181*x - 115
-71*x**5 - 157*x**4 + 70*x**3 + 11*x**2 - 50*x + 52,153*x**3 - 20*x**2 - 63*x + 32
145*x**5 + 142*x**4 + 26*x**3 - 160*x**2 - 191*x + 34,-141*x**3 + 172*x**2 - 194*x - 151
-65*x**5 + 46*x**4 - 80*x**3 - 17*x**2 + 80*x + 51,196*x**3 - 10*x**2 + 86*x - 39
133*x**5 + 5*x**4 - 129*x**3 - 143*x**2 - 4,162*x**3 + 25*x**2 + 98*x - 17
-3*x**6 + 7*x**5 - 2*x**4 - 3*x**3 - 5*x**2 + 2*x - 3,-4*x**3 - 2*x**2 + 4*x - 6
-5*x**6 - 4*x**5 + 9*x**4 + x**3 - 6*x - 6,-8*x**3 - 3*x**2 + 9*x + 3
-7*x**6 - 9*x**5 - 3*x**4 - 3*x**3 + 6*x**2 - 7*x - 3,2*x**3 + 4*x - 7
16*x**6 + x**5 - 4*x**4 + 14*x**3 - 19*x**2 - 11*x + 14,7*x**3 + 3*x**2 - 10*x - 1
-14*x**6 - 14*x**5 + 6*x**4 - 18*x**3 + 15*x**2 - 17*x + 4,-13*x**3 + x**2 + x - 12
-3*x**6 + 14*x**5 + 9*x**4 + 7*x**3 + 7*x**2 + 5*x + 11,7*x**3 - 11*x**2 + 13*x - 10
-5*x**6 - 4*x**5 + 24*x**4 + 9*x**3 - 21*x**2 + 29*x - 15,7*x**3 - 8*x**2 + 5*x + 4
-15*x**6 - 5*x**5 + 3*x**4 - 23*x**3 - 4*x**2 - 21*x,14*x**3 - 13*x**2 + 7*x + 26
21*x**6 - 25*x**5 - 15*x**4 + 2*x**3 - 11*x**2 + 26*x + 2,-13*x**3 - 18*x**2 + 16*x - 18
6*x**6 + 13*x**5 + 24*x**4 - 17*x**3 - 14*x**2 + 10*x - 31,38*x**3 - 6*x**2 + 26*x + 14
-29*x**6 - 13*x**5 + 4*x**4 - 38*x**3 - 32*x**2 - 16*x - 12,9*x**3 + 9*x**2 + 12*x - 6
-35*x**6 - 3*x**5 + 6*x**4 + 16*x**3 - x + 26,-2*x**3 + 29*x**2 + 18*x + 35
13*x**6 + 29*x**5 + 28*x**4 + 46*x**3 - 16*x**2 - 46*x - 36,46*x**3 + 3*x**2 + 35*x + 45
-25*x**6 - 27*x**5 - 33*x**4 - 48*x**3 - 20*x**2 - 32*x + 49,-6*x**3 + 47*x**2 - 44*x - 13
41*x**6 + 44*x**5 - 37*x**4 + 22*x**3 + 48*x**2 + 26,-33*x**3 + 38*x**2 - 45*x - 44
56*x**6 - 43*x**5 + 34*x**4 + 59*x**3 - 22*x + 39,18*x**3 - 43*x**2 - 51*x + 55
11*x**6 + 24*x**5 - 48*x**4 - 4*x**3 - 10*x**2 + 55*x - 41,57*x**3 - 50*x**2 + 49*x + 55
-5*x**6 + 18*x**5 + 32*x**4 + 7*x**3 + 16*x**2 - 50*x - 47,22*x**3 + 32*x**2 + 36*x + 52
-60*x**6 + 20*x**5 + 15*x**4 - 62*x**3 - 34*x**2 + 36*x + 60,39*x**3 - 4*x**2 - 54*x + 67
-27*x**6 - 30*x**5 + 12*x**4 - 64*x**3 - 8*x**2 + 15*x - 8,51*x**3 + 31*x**2 - 67*x + 38
-14*x**6 - 13*x**5 + 5*x**4 - 31*x**3 + 60*x**2 - 3*x - 2,-26*x**3 + 65*x**2 - 23*x + 3
35*x**6 - 26*x**5 + 47*x**4 - 27*x**3 - 5*x**2 + 15*x + 1,33*x**3 + 8*x**2 + 42*x + 68
72*x**6 - 20*x**5 - 73*x**4 + 21*x**3 + 50*x**2 - 69*x + 36,5*x**3 + 9*x**2 + 73*x - 66
16*x**6 + 62*x**5 - 19*x**4 - 33*x**3 + 3*x**2 + 62*x + 42,22*x**3 - 69*x**2 + 63*x + 45
6*x**6 - 67*x**5 + 48*x**4 + 12*x**3 + 27*x**2 - 24*x + 43,-77*x**3 + 8*x**2 - 61*x + 24
-57*x**6 - 60*x**5 - 24*x**4 - 55*x**3 - 17*x**2 - 37*x - 7,-41*x**3 - 42*x**2 - 43*x + 25
24*x**6 + 28*x**5 + 59*x**4 - 52*x**3 + 30*x**2 - 56*x + 52,-59*x**3 + 87*x**2 + 11*x + 33
5*x**6 - 58*x**5 - 64*x**4 - 93*x**3 - 96*x**2 - 11*x - 67,-15*x**3 + 27*x**2 - 82*x + 26
-40*x**6 + 56*x**5 - 26*x**4 - 80*x**3 - 62*x**2 + 31*x + 33,-98*x**3 + 65*x**2 + 74*x + 9
84*x**6 + 37*x**5 + 46*x**4 + 38*x**3 - 58*x**2 - 51*x + 39,53*x**3 + 69*x**2 + 32*x + 37
8*x**6 + 82*x**5 + 101*x**4 - 88*x**3 + 68*x**2 + 84*x + 69,-63*x**3 + 22*x**2 + 17*x + 28
63*x**6 - 21*x**5 - 107*x**4 - 62*x**3 + 95*x**2 + 77*x - 79,-61*x**3 + 3*x**2 - 98*x - 109
101*x**6 - 44*x**5 + 74*x**4 + 56*x**3 - 60*x**2 - 74*x - 17,-10*x**3 + 10*x**2 - 108*x + 102
110*x**6 + 33*x**5 - 92*x**4 + 68*x**3 - 13*x**2 - 101*x - 33,113*x**3 - 119*x**2 + 85*x - 103
69*x**6 + 94*x**5 - 91*x**4 + 14*x**3 + 87*x**2 - 41*x + 111,-22*x**3 + 97*x**2 + 2*x - 70
-117*x**6 - 23*x**5 + x**4 - 2*x**3 + 79*x**2 - 7*x + 64,-31*x**3 + 84*x**2 + 93*x - 16
9*x**6 - 98*x**5 + 56*x**4 + 41*x**3 - 26*x**2 + 30*x - 101,70*x**3 + 33*x**2 + 23*x - 64
-50*x**6 + 90*x**5 - 86*x**4 - 54*x**3 - 91*x**2 + 79*x + 35,63*x**3 - 66*x**2 - 19*x - 89
85*x**6 - 29*x**5 - 77*x**4 - 90*x**3 + 21*x**2 - 3*x + 108,-105*x**3 - 23*x**2 - 38*x - 69
85*x**6 - 35*x**5 - 92*x**4 + 113*x**3 + 105*x**2 + 95*x + 18,39*x**3 - 45*x**2 - 35*x - 18
-13*x**6 - 48*x**5 + 74*x**4 - 120*x**3 - 131*x**2 + 71*x - 33,-112*x**3 - 98*x**2 - 119*x - 36
107*x**6 - 67*x**5 + 135*x**4 - 18*x**3 + 137*x**2 - 7*x + 95,-13*x**3 - 31*x**2 + 124*x + 79
-102*x**6 - 137*x**5 + 50*x**4 + 133*x**3 - 5*x**2 - 94*x - 134,-101*x**3 + 131*x**2 + 86*x - 119
112*x**6 - 46*x**5 - 90*x**4 + 114*x**3 - 37*x**2 - 26*x + 40,-60*x**3 - 44*x**2 + 15*x - 91
45*x**6 - 86*x**5 + 11*x**4 - 18*x**3 - 48*x**2 + 146*x + 24,-79*x**3 + 119*x**2 + 69*x + 78
-49*x**6 - 54*x**5 - 63*x**4 + 52*x**3 - 53*x**2 - 50*x - 3,-122*x**3 - 142*x**2 - 106*x + 28
143*x**6 - 131*x**5 + 70*x**4 - 110*x**3 + 40*x**2 - 122*x + 4,34*x**3 - 25*x**2 + 28*x + 130
-148*x**6 + 142*x**5 - 113*x**4 + 117*x**3 - 49*x**2 + 45*x + 134,5*x**3 + 142*x**2 - 142*x - 97
-5*x**6 + 4*x**5 + 87*x**4 + 138*x**3 - 49*x**2 + 152*x - 32,106*x**3 - 116*x**2 - 9*x - 30
-2*x**6 - 134*x**5 + 131*x**4 + 102*x**3 - 44*x**2 - 167*x + 141,127*x**3 + 52*x**2 + 19*x + 107
11*x**6 + 121*x**5 - 68*x**4 - 36*x**3 + 85*x**2 - 167*x + 57,37*x**3 + 130*x**2 - 98*x - 108
144*x**6 + 60*x**5 + 114*x**4 + 124*x**3 - 50*x**2 - 75*x + 2,-17*x**3 + 159*x**2 + 88*x - 122
151*x**6 - 59*x**5 - 31*x**4 - 119*x**3 - 169*x**2 - 171*x - 30,175*x**3 + 176*x**2 - 26*x + 71
142*x**6 - 119*x**5 + 176*x**4 + 10*x**3 + 176*x**2 + 117*x + 145,120*x**3 + 80*x**2 + 22*x + 38
-145*x**6 - 24*x**5 - 104*x**4 - 113*x**3 - 107*x**2 + 2*x + 140,-23*x**3 - 139*x**2 - 158*x - 184
-23*x**6 - 63*x**5 - 113*x**4 + 187*x**3 + 167*x**2 + 20*x + 70,156*x**3 + 9*x**2 - 157*x - 26
168*x**6 + 25*x**5 + 159*x**4 - 169*x**3 - 44*x**2 - 142*x + 185,98*x**3 - 27*x**2 + 77*x + 93
28*x**6 - 135*x**5 - 12*x**4 - 94*x**3 - 119*x**2 + 23*x - 83,-38*x**3 + 124*x**2 + 65*x - 3
-104*x**6 - 193*x**5 + 183*x**4 + 143*x**3 - 46*x**2 - 156*x - 189,96*x**3 + 100*x**2 - 186*x - 187
132*x**6 - 101*x**5 + 77*x**4 - 108*x**3 + 136*x**2 + 198*x + 186,77*x**3 - 135*x**2 + 35*x + 60
7*x**4 - 5*x**3 + 8*x,-6*x**3 - 7*x**2 + 5*x + 9
2*x**4 - 3*x**2 - 4*x - 7,8*x**3 - 2*x**2 + x + 6
3*x**4 - 5*x**3 + 7*x**2 - 8*x - 1,2*x**3 - 9*x**2 + x + 1
16*x**4 + 8*x**3 - 3*x - 11,4*x**3 - 16*x**2 + 5*x + 3
-7*x**4 - 17*x**3 - 15*x**2 + 2*x - 2,-9*x**3 + x**2 - 14*x - 16
-19*x**4 + 7*x**3 - 10*x**2 + x - 6,-11*x**3 + 7*x**2 - 4*x - 1
4*x**4 - 15*x**3 - 9*x**2 - 12*x - 12,-13*x**3 + 20*x**2 + 15*x + 20
-x**4 + 10*x**3 - 15*x**2 - 10*x - 17,28*x**3 - 27*x**2 + 26*x - 4
-23*x**4 - 4*x**3 - 25*x**2 - 9*x - 25,-3*x**3 + 22*x**2 + 25*x - 2
-14*x**4 - 34*x**3 - 35*x**2 - 5*x + 25,29*x**3 + 8*x**2 - 7*x + 2
15*x**4 - 4*x**3 - 10*x**2 - 16*x + 19,7*x**3 + 11*x**2 + 23*x + 6
x**4 + 5*x**3 - 33*x**2 - 27*x - 9,-14*x**3 + 38*x**2 + 6*x - 5
-35*x**4 - 38*x**3 + 28*x**2 + 25*x + 22,19*x**3 - 46*x**2 + 37*x - 12
-12*x**4 + 16*x**3 - 36*x**2 + 48*x + 14,-9*x**3 + 29*x**2 + 5*x + 1
-41*x**4 + 12*x**3 + 45*x**2 + 17*x - 21,48*x**3 - 27*x**2 + 49*x + 18
-6*x**4 + 4*x**3 + 9*x**2 - 38*x - 1,35*x**3 + 49*x**2 + 34*x - 48
-47*x**4 - 58*x**3 + 33*x**2 - 24*x - 19,-16*x**3 + 43*x**2 - 4*x + 1
-3*x**4 + 51*x**3 + 49*x**2 - 55*x - 10,35*x**3 - 47*x**2 + 36*x - 34
-13*x**4 + 65*x**3 - 62*x**2 + 45*x + 19,61*x**3 - 17*x**2 + 33*x + 54
25*x**4 + 22*x**3 - 20*x**2 - 18*x + 42,-43*x**3 + 52*x**2 + 24*x - 6
29*x**4 + 28*x**3 + 33*x**2 + 50*x + 55,11*x**3 + 42*x**2 - 50*x - 34
37*x**4 - 44*x**3 - 48*x**2 + 40*x - 73,28*x**3 - 12*x**2 + 26*x - 39
12*x**4 + 19*x**3 + 52*x**2 + 60*x - 21,35*x**3 - 22*x**2 - 50*x + 73
-65*x**4 - 51*x**3 - 52*x**2 - 29*x + 58,61*x**3 - 64*x**2 - 35*x - 54
19*x**4 + 4*x**3 - 76*x**2 - 88*x + 75,37*x**3 - 50*x**2 + 39*x - 77
3*x**4 + 17*x**3 + 78*x**2 - 41*x - 9,-7*x**3 + 82*x**2 - 7*x - 77
-16*x**4 - 39*x**3 - 12*x**2 + 76*x - 62,2*x**3 - 87*x**2 + 25*x + 16
81*x**4 + 83*x**3 + 88*x**2 + 40*x - 95,-32*x**3 + 17*x**2 - 28*x - 73
67*x**4 - 44*x**3 - 21*x**2 + 65*x - 55,58*x**3 - 11*x**2 + 47*x - 67
66*x**4 - 76*x**3 + 5*x**2 - 52*x + 60,58*x**3 + 62*x**2 - 78*x + 26
76*x**4 - 19*x**3 - 51*x**2 - 57*x - 96,-44*x**3 + 48*x**2 + 5*x + 25
70*x**4 + 82*x**3 - 92*x**2 + 73*x + 105,84*x**3 + 89*x**2 - 87*x + 3
-96*x**4 + 2*x**3 - 74*x**2 - 85*x - 100,-76*x**3 + 59*x**2 + 46*x - 107
70*x**4 - 53*x**3 + 100*x**2 + 101*x - 103,34*x**3 + 40*x**2 + 95*x - 46
x**4 + 110*x**3 - 102*x**2 + 105*x + 30,-96*x**3 - 119*x**2 + 27*x - 119
76*x**4 - 42*x**3 + 7*x**2 - 32*x + 99,-74*x**3 - 10*x**2 + 113*x + 118
55*x**4 + 54*x**3 - 9*x**2 - 114*x + 53,-34*x**3 + 103*x**2 - 95*x - 122
31*x**4 - 57*x**3 + 123*x**2 - 114*x - 82,77*x**3 - 91*x**2 - 86*x - 31
-94*x**4 + 101*x**3 + 59*x**2 + x - 109,51*x**3 - 33*x**2 - 121*x - 82
-139*x**4 + 128*x**3 - 109*x**2 + 13*x - 94,20*x**3 - 136*x**2 - 27*x + 15
-122*x**4 + 13*x**3 - 107*x**2 + 122*x + 36,99*x**3 + 90*x**2 + 106*x + 75
126*x**4 - 122*x**3 + 29*x**2 + 19*x - 107,-69*x**3 + 26*x**2 - 98*x - 100
47*x**4 - 60*x**3 - 128*x**2 + 56*x + 113,-59*x**3 - 103*x**2 - 144*x - 129
9*x**4 - 11*x**3 + 8*x**2 - 12*x - 131,21*x**3 + x**2 - 66*x + 75
110*x**4 + 98*x**3 + 12*x**2 - 135*x - 70,-115*x**3 + 146*x**2 + 30*x - 107
16*x**4 - 19*x**3 - 114*x**2 + 43*x + 22,-110*x**3 - 79*x**2 + 93*x + 142
13*x**4 + 9*x**3 - 152*x + 126,-50*x**3 - 123*x**2 + 121*x + 94
109*x**4 + 72*x**3 - 62*x**2 - 27*x - 119,-35*x**3 + x**2 - 148*x - 71
24*x**4 - 25*x**3 - 133*x**2 - 77*x + 58,69*x**3 + 53*x**2 + 128*x + 4
-54*x**4 - 46*x**3 + 45*x**2 - 16*x + 4,105*x**3 - 132*x**2 + 78*x + 120
110*x**4 - 96*x**3 - 2*x**2 + 96*x - 106,-161*x**3 - 15*x**2 + 103*x + 29
177*x**4 + 8*x**3 - 79*x**2 + 66*x + 165,81*x**3 - 177*x**2 + 80*x + 51
114*x**4 - 51*x**3 + 26*x**2 + 23*x - 140,-9*x**3 + 160*x**2 + 146*x + 160
144*x**4 + 128*x**3 + 173*x**2 + 167*x - 130,147*x**3 + 121*x**2 + 9*x + 21
73*x**4 - 70*x**3 - 70*x**2 - 178*x + 151,-186*x**3 + 30*x**2 + 175*x + 83
56*x**4 - 65*x**3 - 180*x**2 + 72*x + 155,172*x**3 + 63*x**2 - 103*x - 38
154*x**4 - 61*x**3 - 162*x**2 + 152*x + 86,139*x**3 + 55*x**2 - 35*x - 53
-183*x**4 + 179*x**3 - 2*x**2 - 12*x - 67,84*x**3 + 35*x**2 - 61*x + 108
16*x**4 + 35*x**3 + 90*x**2 + 2*x + 74,143*x**3 - 79*x**2 + 2*x - 147
187*x**4 - 154*x**3 + 136*x**2 + 180*x + 120,32*x**3 + 138*x**2 + 74*x - 71
-3*x**4 + 9*x**3 + 3*x + 9,-7*x**4 - x**3 + x**2 + 3*x + 2
x**4 + 9*x**3 + 8*x**2 + x - 3,7*x**4 - 7*x**3 - 6*x**2 - 6*x - 7
9*x**4 + 8*x**3 - 5*x**2 - 7*x - 6,5*x**4 + x**3 + 4*x**2 - x - 5
-9*x**4 - 9*x**3 - 17*x**2 + 2*x - 10,13*x**4 - 17*x**3 - 10*x**2 + 19
12*x**4 + 19*x**3 - 6*x**2 + 16*x + 18,-9*x**4 + 8*x**3 - 3*x**2 - 14*x + 13
3*x**4 - 6*x**3 - 3*x**2 - 4*x - 2,-16*x**4 - 17*x**3 + 19*x**2 - 6*x - 6
26*x**4 - 12*x**3 - 9*x**2 + 13*x - 15,25*x**4 + 23*x**3 - 10*x**2 - 25*x - 23
25*x**4 - 10*x**3 + 28*x**2 - x + 26,-3*x**4 - 2*x**3 + 24*x**2 + 16*x + 15
18*x**4 + 27*x**3 - 15*x**2 - x + 8,-25*x**4 - 19*x**3 - 2*x**2 + 20
-20*x**4 - 7*x**3 - 9*x**2 + 28*x + 14,38*x**4 + 31*x**3 - 7*x**2 - 14*x + 27
10*x**4 - 30*x**3 + x**2 + 30*x + 28,-18*x**4 - 10*x**3 - 21*x**2 + 38*x + 35
-30*x**4 - 28*x**3 + 21*x**2 - 9*x - 26,24*x**4 + 30*x**3 + 14*x**2 + 22*x + 7
45*x**4 + 8*x**3 + 32*x**2 - 22*x + 43,39*x**4 - 36*x**3 - 25*x + 48
-7*x**4 - 4*x**3 - 47*x**2 + 14*x + 3,14*x**4 + 11*x + 20
30*x**4 + 27*x**3 - 47*x**2 + 37*x - 30,-27*x**4 + 46*x**3 + 27*x**2 + 21*x - 20
-46*x**4 - x**3 - 41*x**2 - 42*x + 26,16*x**4 + 5*x**3 - 54*x**2 + 47*x + 39
-22*x**4 - 42*x**3 + 46*x + 59,-25*x**4 - 26*x**3 - 45*x**2 + 46*x + 35
24*x**4 - 4*x**3 - 40*x**2 - 18*x + 40,41*x**4 + 46*x**3 + 28*x**2 + 16*x - 37
-33*x**4 + 41*x**3 + 26*x**2 + 24*x - 10,45*x**4 + 27*x**3 - 25*x**2 + 63*x + 47
16*x**4 + 56*x**3 + 61*x**2 + 65*x - 44,-45*x**4 - 55*x**3 + 14*x**2 + 69*x + 9
39*x**4 + 59*x**3 + x**2 - 57*x + 61,62*x**4 + 49*x**3 + 33*x**2 + 30*x + 17
-73*x**4 - 14*x**3 - 55*x**2 + 48*x - 73,71*x**4 + 11*x**3 + 60*x**2 - 5*x - 44
-52*x**4 + 48*x**3 + 69*x**2 - 25*x + 24,57*x**4 - 76*x**3 - 78*x**2 + 65*x - 52
-54*x**4 - 7*x**3 + 69*x**2 + 78*x - 70,-40*x**4 + 15*x**3 + 15*x**2 - 60*x - 74
67*x**4 + 57*x**3 + 38*x**2 - 87*x + 50,-68*x**4 - 52*x**3 - 88*x**2 - 76*x - 82
-40*x**4 + 23*x**3 - 62*x**2 - 23*x - 41,-54*x**4 - x**3 + 70*x**2 + 57*x + 59
-78*x**4 - 51*x**3 + 7*x**2 - 77*x - 60,26*x**4 - 17*x**3 + 54*x**2 - 61*x + 49
64*x**4 - 51*x**2 + 51*x - 51,-44*x**4 + 92*x**3 - 9*x**2 - 19*x + 46
23*x**4 - 97*x**3 - 46*x**2 + 51*x + 60,-57*x**4 + 11*x**3 + 64*x**2 - 68*x - 72
-20*x**4 + 42*x**3 - 17*x**2 + 25*x + 26,43*x**4 - 14*x**3 - 75*x**2 + 54*x + 58
7*x**4 + 17*x**3 - 27*x**2 + 100*x - 63,-57*x**4 - 51*x**3 - 94*x**2 - 102*x + 49
32*x**4 - 53*x**3 + 4*x**2 + 51*x - 30,106*x**4 - 9*x**3 + 12*x**2 - 99*x
4*x**4 - 65*x**3 + 33*x**2 - 72,104*x**4 - 24*x**3 - 5*x**2 + 18*x + 47
79*x**4 - 109*x**3 - 115*x**2 - 27*x + 36,-92*x**4 + 90*x**3 + 83*x**2 + 23*x + 30
81*x**4 + 76*x**3 - 66*x**2 - 107*x - 44,111*x**4 + 105*x**3 + 112*x**2 + 93*x + 85
-22*x**4 + 61*x**3 - 16*x**2 + 94*x - 103,-106*x**4 + 12*x**3 - 12*x**2 + 26*x + 20
-124*x**4 - 42*x**3 - 73*x**2 - 70*x - 26,73*x**4 - 104*x**3 - 68*x**2 - 43*x - 110
109*x**4 - 57*x**3 + 90*x**2 - 60*x - 29,4*x**4 - 33*x**3 + 27*x**2 - 121*x + 94
-73*x**4 - 71*x**3 - 107*x**2 - 73*x + 128,-95*x**4 - 107*x**3 - 70*x**2 - 86*x + 31
-90*x**4 - 46*x**3 - 24*x**2 - 44*x + 37,-63*x**4 - 105*x**3 + 51*x**2 + 99*x - 123
102*x**4 - 2*x**3 + 128*x**2 + 117*x - 136,-119*x**4 - 31*x**3 - 67*x**2 + 17*x + 78
98*x**4 - 88*x**3 - 15*x**2 - 122,-104*x**4 - 33*x**3 - 73*x**2 - 25*x - 88
-41*x**4 + 73*x**3 + 72*x**2 - 141*x + 119,-79*x**4 + 140*x**3 + 122*x**2 - 97*x + 14
91*x**4 - 36*x**3 + 56*x**2 - 129*x - 112,-13*x**4 - 120*x**3 - 36*x**2 + 37*x + 9
-77*x**4 + 3*x**3 + 72*x**2 - 26*x + 130,-45*x**4 - 145*x**3 + 7*x**2 + 69*x - 15
-153*x**4 - 11*x**3 + 15*x**2 - 19*x + 21,156*x**4 + 3*x**3 + 158*x**2 - 41*x + 159
50*x**4 - 92*x**3 - 74*x**2 + 102*x + 83,46*x**4 - 81*x**3 + 132*x**2 + 15*x - 115
