P(x),Q(x)
94*x**5 - 14*x**4 - 122*x**3 - 156*x**2 + 132*x + 117,126*x**3 + 50*x**2 - 14*x + 77
139*x**5 - 100*x**4 + 35*x**3 - 134*x**2 - 130*x + 26,87*x**3 - 159*x**2 - 36*x + 151
54*x**5 + 87*x**4 + 26*x**3 - 71*x**2 - 122*x + 9,134*x**3 - 25*x**2 + 33*x - 35
-3*x**5 - 30*x**4 - 133*x**3 - 85*x**2 - 50*x + 118,23*x**3 + 175*x**2 - 161*x + 106
-142*x**5 + 16*x**4 - 5*x**3 - 16*x**2 + 151*x - 166,-148*x**3 + 31*x**2 + 141*x + 32
-6*x**5 + 158*x**4 - 72*x**3 + 58*x**2 + 163*x - 140,-77*x**3 - 142*x**2 + 138*x + 125
-32*x**5 + 7*x**4 + 67*x**3 + 55*x**2 + 55*x + 80,26*x**3 + 61*x**2 + 110*x - 77
83*x**5 - 142*x**4 - 178*x**3 - 96*x**2 + 86*x + 105,77*x**3 + 14*x**2 - 19*x + 133
26*x**5 + 73*x**4 - 140*x**3 - 43*x**2 - 19*x + 37,13*x**3 + 86*x**2 + 55*x - 77
-45*x**5 - 165*x**4 - 141*x**3 - 188*x**2 - 143*x + 150,162*x**3 - 175*x**2 + 92*x - 38
186*x**5 + 5*x**4 + 152*x**3 + 96*x**2 + 100*x - 176,-28*x**3 + 68*x**2 - 126*x + 124
-148*x**5 - 133*x**4 - 105*x**3 - 183*x**2 + 71*x + 22,-29*x**3 - 140*x**2 + 108*x - 138
-27*x**5 - 120*x**4 - 5*x**3 + 129*x**2 - 22*x + 2,175*x**3 + 178*x**2 - 112*x + 178
145*x**5 - 99*x**4 + 63*x**3 + 117*x**2 + 192*x + 104,-50*x**3 - 150*x**2 - 18*x - 82
-3*x**5 - 12*x**4 - 186*x**3 - 185*x**2 - 154*x - 14,-191*x**3 - 73*x**2 + 106*x + 21
149*x**5 + 199*x**4 + 66*x**3 - 99*x**2 + 61*x - 138,2*x**3 + 110*x**2 - 154*x - 194
119*x**5 - 178*x**4 + 40*x**3 + 35*x**2 + 164*x - 69,-65*x**3 - 50*x**2 - 185*x - 158
70*x**5 - 168*x**4 - 28*x**3 - 59*x**2 - 31*x + 10,52*x**3 - 157*x**2 - 113*x + 51
